run_id,config_id,seed,scale,method,status,error,reason,fix,rerun_result
matched_coverage:synthetic_n100_s10:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_100:seed_10,10,100,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -2,actual served count differs from target by -2,,
matched_coverage:synthetic_n100_s15:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_100:seed_15,15,100,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -1,actual served count differs from target by -1,,
matched_coverage:synthetic_n100_s16:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_100:seed_16,16,100,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -3,actual served count differs from target by -3,,
matched_coverage:synthetic_n100_s19:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_100:seed_19,19,100,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -2,actual served count differs from target by -2,,
matched_coverage:synthetic_n200_s2:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_200:seed_2,2,200,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -9,actual served count differs from target by -9,,
matched_coverage:synthetic_n200_s11:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_200:seed_11,11,200,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -2,actual served count differs from target by -2,,
matched_coverage:synthetic_n200_s13:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_200:seed_13,13,200,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -5,actual served count differs from target by -5,,
matched_coverage:synthetic_n300_s2:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_300:seed_2,2,300,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -2,actual served count differs from target by -2,,
matched_coverage:synthetic_n300_s13:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_300:seed_13,13,300,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -5,actual served count differs from target by -5,,
matched_coverage:synthetic_n300_s15:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_300:seed_15,15,300,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -2,actual served count differs from target by -2,,
matched_coverage:synthetic_n500_s2:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_2,2,500,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -4,actual served count differs from target by -4,,
matched_coverage:synthetic_n500_s3:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_3,3,500,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -8,actual served count differs from target by -8,,
matched_coverage:synthetic_n500_s6:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_6,6,500,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -8,actual served count differs from target by -8,,
matched_coverage:synthetic_n500_s14:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_14,14,500,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -7,actual served count differs from target by -7,,
matched_coverage:synthetic_n500_s19:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_19,19,500,BidirectionalMP_Choice_RH_ALNS,failed,coverage gap count -9,actual served count differs from target by -9,,
