variant,scale,seed,acceptance_rate,vehicle_km,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
DoorToDoor,100,42,0.53,775.2053397869848,3666.4166604738016,13641.74498336331,0.0,3755.907665345863,2.927345628598122,0.5505793316553516,0.45852250000461936
SingleSidedPickup,100,42,0.59,866.6366405671932,4846.276203926464,17257.301019982602,1478.9587574226173,4153.364707118208,3.1404247023045126,0.5418129333554054,2.9647081999573857
BidirectionalNoChoice,100,42,0.61,798.3320322656625,3864.9525451045542,13097.232109040742,1937.4390596155858,4692.834332256196,4.110264693450705,0.4946430499042487,1.766447100089863
FullModel,100,42,0.18,186.37614582146173,592.753794453256,1283.27664017528,80.66055246932198,826.6807649292722,0.9972405714031258,0.3708258517776244,0.22947170003317297
AblationNoRollingHorizon,100,42,0.22,271.8699175446186,1765.111057193199,7213.434162987279,1947.6910691492326,4373.729348535379,3.918879268071497,0.5012619314498423,0.11275379988364875
AblationNoChoice,100,42,0.52,535.5798246461181,469.68565289742713,1220.0788945172521,75.82200748331374,1064.738252059797,1.0021670563103997,0.36543409530491333,2.241708300076425
DoorToDoor,100,43,0.59,871.6609363808527,5496.680338874146,14697.67588504582,0.0,3539.796540591219,3.6319136492040047,0.541803320333325,0.8768774000927806
SingleSidedPickup,100,43,0.59,819.501818794069,5053.662842691518,17919.509080853128,1267.8041338745472,3600.5823893318816,3.7716501744447672,0.5422465563587806,3.8161375999916345
BidirectionalNoChoice,100,43,0.65,954.4016195976425,5811.182672440384,16211.42754123282,1847.4682232358593,4161.237340840661,4.034465498307734,0.46924175356102427,2.1218261001631618
FullModel,100,43,0.17,210.51686481102115,383.3538826753682,810.5613473882556,85.60514771640688,1116.0660320529914,1.003533311866019,0.33526298232820784,0.2272286000661552
AblationNoRollingHorizon,100,43,0.22,293.4593211643861,4351.59919275211,23689.1400739735,1859.5482761902351,5884.35205483146,5.132200848594652,0.5482085250236666,0.28057199995964766
AblationNoChoice,100,43,0.56,709.9987503869977,417.93233103071617,953.746291970343,75.47754631251478,1207.6424133324288,1.0019388536803369,0.3988739336233702,2.330836199922487
DoorToDoor,100,44,0.31,499.8109140065884,4099.999250253261,16509.46468936472,0.0,3842.97757070571,3.689659667939356,0.5605977363740049,0.3113732000347227
SingleSidedPickup,100,44,0.41,590.7943812941872,4434.339166521204,14886.913229548998,1197.870923377545,2894.593644847892,2.4247131438734733,0.5036759825696273,2.0785584999248385
BidirectionalNoChoice,100,44,0.32,415.565427930395,3022.404714193338,15607.088474831733,1745.8950045378963,2714.6794311643844,2.7134557060514357,0.5250556017750927,0.8705899999476969
FullModel,100,44,0.2,188.39313532673654,449.357176996681,1020.3377003475808,145.34447160184283,943.3229789038618,0.9831734082164022,0.36027787187988425,0.13006060011684895
AblationNoRollingHorizon,100,44,0.18,239.72394421915726,4625.954265251548,18046.153183277827,1921.4431329442486,6249.938475777131,6.184993978971538,0.5646663414087003,0.24995689978823066
AblationNoChoice,100,44,0.61,687.0731283673628,455.10543721663714,946.588791869227,131.85235737428377,1194.0792431802092,1.0030418973864608,0.4041747102132591,2.0006782000418752
DoorToDoor,200,42,0.58,1693.7530626557734,5822.070713646182,17056.428978682583,0.0,4064.7073749540077,3.775786068302609,0.5062478533228205,3.9827603998128325
SingleSidedPickup,200,42,0.53,1465.3895717368423,6278.247864740178,19308.400353788405,1485.4432087622076,3982.2945115015837,3.77090023349162,0.5252811221422509,19.953766599996015
BidirectionalNoChoice,200,42,0.565,1491.6739584081317,6112.763553209753,18567.512415457855,1883.7290745264677,4128.1496521369745,3.936186713962257,0.5061529077334519,10.99917359999381
FullModel,200,42,0.23,521.9064648171989,496.4404871611029,1116.2044704383175,119.03036600115695,1002.011781638342,0.9974256346306558,0.3866873007860643,0.603532699868083
AblationNoRollingHorizon,200,42,0.21,473.8274569308259,6224.408278568721,22352.154193455168,1782.798097217637,6973.117263405645,7.264311345170059,0.4893051150693217,1.8169740999583155
AblationNoChoice,200,42,0.53,1276.7498577550432,434.1222484685527,1098.4154904500242,152.21020441729215,1143.2437074792294,1.0562086147317484,0.4282023106054158,12.604271299904212
DoorToDoor,200,43,0.72,2152.4560446338796,5247.164502689802,16154.080893954639,0.0,3218.9767161301593,3.146380036400918,0.5469871459229274,3.984498200006783
SingleSidedPickup,200,43,0.675,1789.284817675928,5475.021728043139,18712.137113323028,1299.2667640958405,3129.0743434936894,3.09047723904687,0.5344367256144384,21.201622700085863
BidirectionalNoChoice,200,43,0.7,1717.6473212150815,5142.701816530976,14652.5783393637,1750.6510850589632,3701.4108297139005,3.4971112863398868,0.5106982105848381,13.781126599991694
FullModel,200,43,0.185,330.0216172912101,517.545626940989,1773.8838788245198,35.282726443060675,769.1632302300156,0.9993128184054559,0.4268211773326087,0.6601849999278784
AblationNoRollingHorizon,200,43,0.265,537.8909120037946,2792.4135168065923,11943.775157364793,1750.676102045448,5427.181087919727,7.332354509229164,0.5765822068182336,1.8626041999086738
AblationNoChoice,200,43,0.56,1116.7635423263348,389.2481959479278,1038.434997404875,67.21569717542566,1069.1361759593456,1.0270098547924482,0.41653159578796384,10.54016499989666
DoorToDoor,200,44,0.55,1765.4409448592785,4601.595748705629,14736.583312220175,0.0,3729.838309084229,3.128560881494736,0.5332028369738309,2.09984129993245
SingleSidedPickup,200,44,0.565,1446.1348951192833,5086.874757959301,14660.496194525005,1336.8000512254462,3091.2424915246697,2.648968976485513,0.49447453182365075,16.470756500028074
BidirectionalNoChoice,200,44,0.545,1396.4964004827848,4132.190138947887,13505.114003738512,1782.2227667901693,3962.6468446964245,3.846930245978527,0.4661377933240025,6.836385500151664
