variant,scale,seed,acceptance_rate,vehicle_km,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
DoorToDoor,200,42,0.69,1287.384275021577,7067.755796980285,21354.80637186173,0.0,1860.2484755103478,5.080335549657946,0.5523257905153944,7.033630600199103
SingleSidedPickup,200,42,0.815,1286.8519951168723,7295.250570804182,22037.242895262887,1276.8384355489598,1784.1298456827094,4.560040289626362,0.5640015874194755,78.5371495001018
BidirectionalNoChoice,200,42,0.85,1265.9395497803346,7470.254994750168,20774.98459566027,1710.9295785723991,1863.8266269280318,4.0411981576586955,0.5248131645686485,54.98933670017868
FullModel,200,42,0.345,326.67183194509363,354.8484246830337,764.9986857557735,39.55722047103617,369.9407139684148,0.9855072463768116,0.37837308531667957,0.4389472999610007
AblationNoRollingHorizon,200,42,0.385,557.8858900796882,8750.336492452516,22767.976112683238,1652.1984728689026,2842.144419267068,8.659873854047104,0.4711363835956026,5.673702099826187
AblationNoChoice,200,42,0.715,686.8833588130738,299.20747690170566,752.3222322862856,79.63196446678339,404.1791160889839,1.1165976646026545,0.45132323598736956,12.725129800150171
DoorToDoor,200,43,0.86,1359.4607194805649,7659.35736057063,22602.24041830075,0.0,1972.6490033027035,5.57870715005397,0.5168950375354973,12.882498800056055
SingleSidedPickup,200,43,0.83,1215.2762942999832,7957.864961947285,22381.295837259266,1197.7751383308769,2001.720984052655,5.751844666438464,0.538608902514023,105.03224379988387
BidirectionalNoChoice,200,43,0.865,1209.0692958059394,9333.992705269566,22260.912343703163,1728.608356135792,2929.9125287738207,7.126141427346478,0.47403548028973397,59.212474500061944
FullModel,200,43,0.335,224.79344454865085,303.6545145877027,563.9224459931389,81.89954158678543,349.45414503513587,0.9836522925238274,0.37757985497965585,0.5613809998612851
AblationNoRollingHorizon,200,43,0.16,249.96725173320897,9411.063709596285,24521.090534004255,1559.950593211919,2632.2962321383066,8.229184205066659,0.5535506345415435,6.141896699788049
AblationNoChoice,200,43,0.705,611.3201032563076,309.7732957624987,664.6608330138879,39.69739576094268,361.55254910649813,1.017389826764019,0.3945524112096259,9.605830099899322
DoorToDoor,200,44,0.775,1414.7578021954341,6948.520434607572,20875.187315812487,0.0,1528.5889750432755,5.563902185418751,0.5552955104899355,9.097537799971178
SingleSidedPickup,200,44,0.695,1180.6012160673174,7822.253037617014,21810.630457073614,1281.360796819365,1726.6514553580848,3.850482010918758,0.548713251097457,60.70242159999907
BidirectionalNoChoice,200,44,0.725,1188.2876984187687,7440.7969845690905,21438.23692514884,1661.0489085060135,2094.815907770386,5.774810450244098,0.5475263617065071,42.00027660001069
FullModel,200,44,0.31,222.0972656540618,345.25450354901733,976.5565406001671,82.44380929032583,386.7603415923444,0.9975253367042389,0.43555860807426927,0.5794198999647051
AblationNoRollingHorizon,200,44,0.28,458.7132595418179,10824.845037441306,25057.415933998953,1730.1644835527743,1950.8340819736372,5.0964812174216325,0.49523291737456576,5.084447999950498
AblationNoChoice,200,44,0.7,654.1484228303375,287.6172417278822,668.4107729198937,54.055474478998,350.1820587093567,1.0008133162746748,0.45101842932277414,14.917328499956056
