run_id,config_id,variant,scale,seed,scenario,method_label,service_design,choice_model,reoptimization,routing_solver,evidence_family,diagnostic_role,legacy_class,status,detailed_reason,runtime_s,error_message,result_schema_version,timestamp_utc,artifact_dir,git_commit_or_code_hash,n_requests,n_offered,n_served,acceptance_rate,vehicle_km,total_vehicle_km,served_share,behavioral_acceptance_rate,choice_rejection_rate,feasibility_rejection_rate,vkm_per_served_trip,vkm_per_original_request,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
synthetic_n100_v10_s1:BidirectionalMP_Choice_RH_ALNS:s1,synthetic_n100_v10_s1:scale_100:seed_1,FullModel,100,1,synthetic_n100_v10_s1,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,1.45039870031178,,phase04.v1,2026-06-16T06:18:39.859895+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,49,11,0.11,110.3637143949835,110.3637143949835,0.11,0.62,0.38,0.51,10.0330649449985,1.1036371439498351,385.6016941349742,781.6937839071054,281.8906175947679,1029.706705663324,1.0,0.3768271579918112,1.45039870031178
synthetic_n100_v10_s1:DoorToDoor_Choice_CommonRouting:s1,synthetic_n100_v10_s1:scale_100:seed_1,DoorToDoor,100,1,synthetic_n100_v10_s1,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.18423009989783168,,phase04.v1,2026-06-16T06:18:40.073643+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,90,26,0.26,400.39865002112776,400.39865002112776,0.26,0.36,0.64,0.1,15.399948077735683,4.003986500211278,1192.7930135922093,7757.248016104495,0.0,4256.39343682601,4.0636754802349975,0.30012793423324546,0.18423009989783168
synthetic_n100_v10_s1:SingleSidedDropoff_Choice_CommonRouting:s1,synthetic_n100_v10_s1:scale_100:seed_1,SingleSidedDropoff,100,1,synthetic_n100_v10_s1,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.1907591000199318,,phase04.v1,2026-06-16T06:18:40.289356+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,64,20,0.2,352.13934215683634,352.13934215683634,0.2,0.56,0.44,0.36,17.606967107841818,3.5213934215683635,797.7045760187856,2416.5159884213317,964.2985867837039,4921.537947688976,4.206934686118907,0.33368601283654775,0.1907591000199318
synthetic_n100_v10_s1:SingleSidedPickup_Choice_CommonRouting:s1,synthetic_n100_v10_s1:scale_100:seed_1,SingleSidedPickup,100,1,synthetic_n100_v10_s1,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.26658299984410405,,phase04.v1,2026-06-16T06:18:40.579816+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,77,22,0.22,387.8809418393704,387.8809418393704,0.22,0.44999999999999996,0.55,0.23,17.63095190178956,3.878809418393704,1326.8243469716356,6543.5341987010925,1001.8772434285682,6536.172254892741,6.809590261408538,0.3035361015166529,0.26658299984410405
synthetic_n100_v10_s2:BidirectionalMP_Choice_RH_ALNS:s2,synthetic_n100_v10_s2:scale_100:seed_2,FullModel,100,2,synthetic_n100_v10_s2,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,2.8295773998834193,,phase04.v1,2026-06-16T06:18:43.434472+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,66,21,0.21,221.77517205670281,221.77517205670281,0.21,0.55,0.45,0.34,10.56072247889061,2.217751720567028,431.45515442344464,930.9231551447147,45.42857759020944,1037.2434579791668,1.0,0.27790582423688703,2.8295773998834193
synthetic_n100_v10_s2:DoorToDoor_Choice_CommonRouting:s2,synthetic_n100_v10_s2:scale_100:seed_2,DoorToDoor,100,2,synthetic_n100_v10_s2,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.21328959986567497,,phase04.v1,2026-06-16T06:18:43.673436+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,89,26,0.26,394.14228594037735,394.14228594037735,0.26,0.37,0.63,0.11,15.159318690014514,3.9414228594037737,2091.572654129163,12354.99143048595,0.0,3060.907264473964,3.66046258717625,0.33480414896090993,0.21328959986567497
synthetic_n100_v10_s2:SingleSidedDropoff_Choice_CommonRouting:s2,synthetic_n100_v10_s2:scale_100:seed_2,SingleSidedDropoff,100,2,synthetic_n100_v10_s2,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.43770060036331415,,phase04.v1,2026-06-16T06:18:44.137135+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,80,25,0.25,387.83199347283437,387.83199347283437,0.25,0.44999999999999996,0.55,0.2,15.513279738913376,3.878319934728344,3692.2540947576053,17610.62896045834,927.4342081004625,2240.073693544586,2.1560741824323637,0.34193131589372094,0.43770060036331415
synthetic_n100_v10_s2:SingleSidedPickup_Choice_CommonRouting:s2,synthetic_n100_v10_s2:scale_100:seed_2,SingleSidedPickup,100,2,synthetic_n100_v10_s2,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.402791999746114,,phase04.v1,2026-06-16T06:18:44.564699+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,85,25,0.25,399.84952777100307,399.84952777100307,0.25,0.4,0.6,0.15,15.993981110840123,3.9984952777100307,2058.00821585736,9588.420330161154,942.7854503547387,4539.420054359173,3.7714869319156463,0.32007005342680594,0.402791999746114
synthetic_n100_v10_s3:BidirectionalMP_Choice_RH_ALNS:s3,synthetic_n100_v10_s3:scale_100:seed_3,FullModel,100,3,synthetic_n100_v10_s3,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,3.6760534001514316,,phase04.v1,2026-06-16T06:18:48.265070+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,62,13,0.13,119.76675856721877,119.76675856721877,0.13,0.51,0.49,0.38,9.212827582093752,1.1976675856721877,481.69806232214137,885.529115017598,161.21401694722238,1060.7064076030658,1.0077953493085452,0.3804697918787181,3.6760534001514316
synthetic_n100_v10_s3:DoorToDoor_Choice_CommonRouting:s3,synthetic_n100_v10_s3:scale_100:seed_3,DoorToDoor,100,3,synthetic_n100_v10_s3,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.37548260018229485,,phase04.v1,2026-06-16T06:18:48.666658+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,82,28,0.28,421.4736964638142,421.4736964638142,0.28,0.45999999999999996,0.54,0.18,15.052632016564791,4.214736964638142,2222.1280945478948,9399.773666978255,0.0,8123.389064241541,10.00078308416441,0.23338465957570742,0.37548260018229485
