method_label,method,scale,n_pairs,row_count,served_share_mean,behavioral_acceptance_rate_mean,choice_rejection_rate_mean,feasibility_rejection_rate_mean,total_vehicle_km_mean,vkm_per_served_trip_mean,vkm_per_original_request_mean,avg_wait_mean,avg_walk_mean,avg_ivt_mean
BidirectionalMP_Choice_RH_ALNS,FullModel,100,20,20,0.1305,0.58,0.42000000000000004,0.4495000000000001,138.0986692692397,10.53176637621345,1.3809866926923973,416.9770662070615,197.93553439295695,949.9691443536394
BidirectionalMP_Choice_RH_ALNS,FullModel,200,20,20,0.16125,0.4405,0.5595,0.27925,322.73133199564285,9.878659987867003,1.6136566599782143,416.33394856531515,81.02075782687184,991.2543930130944
BidirectionalMP_Choice_RH_ALNS,FullModel,300,20,20,0.16266666666666663,0.43216666666666664,0.5678333333333333,0.2695,484.3449032846112,9.925679123255579,1.6144830109487036,408.78243416498793,73.49839698935486,969.4077229756176
BidirectionalMP_Choice_RH_ALNS,FullModel,500,20,20,0.1757,0.38930000000000003,0.6106999999999999,0.2136,832.7907561931343,9.468001038078018,1.6655815123862685,384.9381853951394,51.06006728608655,942.8392251583243
DoorToDoor_Choice_CommonRouting,DoorToDoor,100,20,20,0.18550000000000003,0.558,0.442,0.37250000000000005,307.65284782350466,16.81434468133949,3.0765284782350464,2678.1016089800933,0.0,5171.275539293665
DoorToDoor_Choice_CommonRouting,DoorToDoor,200,20,20,0.196,0.41925,0.5807500000000001,0.22325000000000003,599.9749726392768,15.355018147863422,2.999874863196384,3847.4432724767494,0.0,6067.829541773682
DoorToDoor_Choice_CommonRouting,DoorToDoor,300,20,20,0.207,0.37766666666666665,0.6223333333333334,0.17066666666666666,868.6300144726865,14.097377664798524,2.8954333815756215,4375.00139556403,0.0,6281.98534157705
DoorToDoor_Choice_CommonRouting,DoorToDoor,500,20,20,0.2131,0.39299999999999996,0.607,0.1799,1314.5339247589186,12.393644690727525,2.6290678495178375,4727.213479476504,0.0,7011.885660287536
SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,20,20,0.17450000000000002,0.5774999999999999,0.42250000000000004,0.4029999999999999,281.8970106889541,16.259033549023567,2.8189701068895414,2754.9806355325113,812.7139633411031,4358.613994595527
SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,20,20,0.19324999999999998,0.429,0.571,0.23575000000000004,559.4470631854124,14.500736819211102,2.7972353159270615,3797.6565402014758,884.7999399528362,5199.83790418463
SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,20,20,0.1953333333333333,0.4173333333333334,0.5826666666666667,0.22199999999999998,771.1842365616687,13.187890143958413,2.570614121872229,4374.91137766712,899.1012467083577,6236.790525587926
SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,500,20,20,0.2111,0.3821,0.6179000000000001,0.17099999999999999,1231.261834838458,11.680827197223973,2.4625236696769157,4526.071088369094,878.9165092869304,6781.306462228551
SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,20,20,0.19650000000000004,0.537,0.46299999999999997,0.3404999999999999,316.194933247882,15.551233940475461,3.161949332478819,2270.6119761842847,878.3503313644615,5211.420731331734
SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,20,20,0.19549999999999998,0.44025,0.5597500000000001,0.24474999999999997,553.0625089280476,14.259597298185986,2.7653125446402376,3572.416013496752,924.5533196702223,5881.740470547371
SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,20,20,0.19983333333333336,0.43600000000000005,0.564,0.23616666666666664,786.8060771958552,13.146554756424711,2.6226869239861843,3838.514379716439,909.5734254966998,6738.318053725391
SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,500,20,20,0.2052,0.4096,0.5904,0.2044,1206.2543093384609,11.773741219140408,2.4125086186769216,4421.900523222384,906.6090045193732,7227.744848426842
BidirectionalMP_Choice_RH_ALNS,FullModel,all,80,80,0.15752916666666666,0.4604916666666667,0.5395083333333334,0.3029625,444.49141518565705,9.951026631353514,1.568676969001396,406.7579085831259,100.87868912381755,963.3676213751689
DoorToDoor_Choice_CommonRouting,DoorToDoor,all,80,80,0.2004,0.4369791666666666,0.5630208333333334,0.23657916666666665,772.6979399235967,14.665096296182242,2.9002261431312224,3906.9399391243437,0.0,6133.244020732983
SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,all,80,80,0.1935458333333333,0.45148333333333335,0.5485166666666667,0.2579375,710.9475363186233,13.907121927354263,2.662335803591437,3863.4049104425503,868.882914822307,5644.137221649158
SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,all,80,80,0.19925833333333332,0.4557124999999999,0.5442875,0.2564541666666667,715.5794571775614,13.682781803556642,2.740614354945541,3525.860723154965,904.771520262689,6264.806026007834
