comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share,ci_low,ci_high,ci_method,bootstrap_seed,n_resamples
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,served_share,20,20,0,0,0,-0.05500000000000001,-0.05,-0.15000000000000002,0.01,0.05,-0.07749999999999999,-0.034499999999999996,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,served_share,20,20,0,0,0,-0.066,-0.06999999999999999,-0.16999999999999998,0.01999999999999999,0.1,-0.08949999999999998,-0.0435,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,served_share,20,20,0,0,0,-0.044,-0.045000000000000005,-0.12,0.04000000000000001,0.15,-0.0635,-0.025499999999999995,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,behavioral_acceptance_rate,20,20,0,0,0,0.022000000000000026,0.014999999999999958,-0.17999999999999994,0.26,0.55,-0.026499999999999985,0.07200000000000002,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,behavioral_acceptance_rate,20,20,0,0,0,0.043000000000000024,0.025000000000000022,-0.07999999999999985,0.21000000000000008,0.55,0.009000000000000005,0.07900000000000003,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,behavioral_acceptance_rate,20,20,0,0,0,0.002500000000000016,0.0,-0.18,0.15000000000000002,0.45,-0.0325125,0.03650000000000003,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,choice_rejection_rate,20,20,0,0,0,-0.022000000000000013,-0.014999999999999954,-0.26,0.18,0.55,-0.07050000000000003,0.024999999999999977,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,choice_rejection_rate,20,20,0,0,0,-0.04300000000000002,-0.025000000000000022,-0.21000000000000002,0.07999999999999996,0.55,-0.079,-0.008500000000000021,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,choice_rejection_rate,20,20,0,0,0,-0.0025000000000000074,0.0,-0.15000000000000002,0.17999999999999994,0.45,-0.037500000000000006,0.03299999999999999,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,feasibility_rejection_rate,20,20,0,0,0,0.077,0.02500000000000001,-0.16000000000000003,0.41000000000000003,0.3,0.01750000000000001,0.14100000000000001,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,feasibility_rejection_rate,20,20,0,0,0,0.10900000000000001,0.10000000000000003,-0.06,0.33999999999999997,0.15,0.06000000000000001,0.16051249999999984,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,feasibility_rejection_rate,20,20,0,0,0,0.04650000000000001,0.04999999999999999,-0.19999999999999998,0.22,0.35,0.0005000000000000114,0.0895,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,total_vehicle_km,20,20,0,0,0,-169.55417855426495,-164.83240246125018,-302.0473504152317,2.6644172827989507,0.9,-207.38168894432562,-130.41767611455572,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,total_vehicle_km,20,20,0,0,0,-178.0962639786422,-194.5686641100408,-298.29002364479015,0.0,0.95,-214.65231454118089,-138.81073708860322,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,total_vehicle_km,20,20,0,0,0,-143.79834141971438,-133.43683927325156,-301.7137128022581,2.614758244883056,0.9,-179.96917783284374,-106.9990309314645,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,vkm_per_served_trip,20,20,0,0,0,-6.282578305126041,-5.799589077350078,-16.82296886106752,0.0,0.95,-7.7926753765102905,-5.0219730769078685,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,vkm_per_served_trip,20,20,0,0,0,-5.019467564262014,-4.906207942842063,-8.194368751959827,0.0,0.95,-5.933145778051329,-4.024040924526277,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,vkm_per_served_trip,20,20,0,0,0,-5.727267172810114,-5.266122892645231,-16.872627898983414,0.0,0.95,-7.270916644300366,-4.418914594487799,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,vkm_per_original_request,20,20,0,0,0,-1.6955417855426493,-1.648324024612502,-3.0204735041523167,0.026644172827989587,0.9,-2.074270142745058,-1.3029701631106427,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,vkm_per_original_request,20,20,0,0,0,-1.7809626397864222,-1.9456866411004081,-2.9829002364479016,0.0,0.95,-2.1590299513287725,-1.3827754536519723,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,vkm_per_original_request,20,20,0,0,0,-1.4379834141971441,-1.3343683927325158,-3.017137128022581,0.026147582448830586,0.9,-1.8069783305919993,-1.0705464575376693,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,avg_wait,20,20,0,0,0,-2261.1245427730314,-1805.0133723142617,-5580.389697434933,69.17400053588625,0.9,-3025.0429280501476,-1528.3676872299086,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_wait,20,20,0,0,0,-1853.6349099772226,-1923.9136124693737,-4008.949980615026,0.0,0.95,-2436.099065719109,-1284.2714200076875,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_wait,20,20,0,0,0,-2338.0035693254504,-2289.0919957979722,-6244.083339784107,0.0,0.95,-3100.308766370813,-1598.6216263329654,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,avg_walk,20,20,0,0,0,197.93553439295695,154.2204680543491,0.0,1037.0132683171944,0.0,123.51383611787693,302.0557660229358,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_walk,20,20,0,0,0,-680.4147969715046,-737.1655329094006,-981.4271880251193,259.93551141615785,0.9,-789.2931938899388,-539.7420544724869,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_walk,20,20,0,0,0,-614.7784289481463,-739.456021815286,-882.005630510253,951.8350081754396,0.9,-753.354735369616,-411.3205448462066,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,avg_ivt,20,20,0,0,0,-4221.306394940026,-4267.6129561444095,-8169.206932562538,0.0,0.95,-5235.219072565512,-3199.7611214732883,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_ivt,20,20,0,0,0,-4261.451586978094,-4215.434453818586,-8426.771507944146,0.0,0.95,-5154.35282603306,-3387.1323346564554,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_ivt,20,20,0,0,0,-3408.6448502418875,-3462.187776676636,-8643.568235115456,0.0,0.95,-4373.868566243631,-2554.6265837269884,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,served_share,20,20,0,0,0,-0.03475,-0.035,-0.125,0.04000000000000001,0.15,-0.05150000000000001,-0.0185,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,served_share,20,20,0,0,0,-0.03425,-0.03,-0.09000000000000002,0.0,0.0,-0.046250000000000006,-0.022500000000000003,paired_bootstrap_percentile,20260616,5000
