comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,served_share,20,20,0,0,0,-0.05500000000000001,-0.05,-0.15000000000000002,0.01,0.05
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,served_share,20,20,0,0,0,-0.066,-0.06999999999999999,-0.16999999999999998,0.01999999999999999,0.1
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,served_share,20,20,0,0,0,-0.044,-0.045000000000000005,-0.12,0.04000000000000001,0.15
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,behavioral_acceptance_rate,20,20,0,0,0,0.022000000000000026,0.014999999999999958,-0.17999999999999994,0.26,0.55
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,behavioral_acceptance_rate,20,20,0,0,0,0.043000000000000024,0.025000000000000022,-0.07999999999999985,0.21000000000000008,0.55
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,behavioral_acceptance_rate,20,20,0,0,0,0.002500000000000016,0.0,-0.18,0.15000000000000002,0.45
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,choice_rejection_rate,20,20,0,0,0,-0.022000000000000013,-0.014999999999999954,-0.26,0.18,0.55
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,choice_rejection_rate,20,20,0,0,0,-0.04300000000000002,-0.025000000000000022,-0.21000000000000002,0.07999999999999996,0.55
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,choice_rejection_rate,20,20,0,0,0,-0.0025000000000000074,0.0,-0.15000000000000002,0.17999999999999994,0.45
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,feasibility_rejection_rate,20,20,0,0,0,0.077,0.02500000000000001,-0.16000000000000003,0.41000000000000003,0.3
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,feasibility_rejection_rate,20,20,0,0,0,0.10900000000000001,0.10000000000000003,-0.06,0.33999999999999997,0.15
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,feasibility_rejection_rate,20,20,0,0,0,0.04650000000000001,0.04999999999999999,-0.19999999999999998,0.22,0.35
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,total_vehicle_km,20,20,0,0,0,-169.55417855426495,-164.83240246125018,-302.0473504152317,2.6644172827989507,0.9
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,total_vehicle_km,20,20,0,0,0,-178.0962639786422,-194.5686641100408,-298.29002364479015,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,total_vehicle_km,20,20,0,0,0,-143.79834141971438,-133.43683927325156,-301.7137128022581,2.614758244883056,0.9
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,vkm_per_served_trip,20,20,0,0,0,-6.282578305126041,-5.799589077350078,-16.82296886106752,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,vkm_per_served_trip,20,20,0,0,0,-5.019467564262014,-4.906207942842063,-8.194368751959827,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,vkm_per_served_trip,20,20,0,0,0,-5.727267172810114,-5.266122892645231,-16.872627898983414,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,vkm_per_original_request,20,20,0,0,0,-1.6955417855426493,-1.648324024612502,-3.0204735041523167,0.026644172827989587,0.9
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,vkm_per_original_request,20,20,0,0,0,-1.7809626397864222,-1.9456866411004081,-2.9829002364479016,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,vkm_per_original_request,20,20,0,0,0,-1.4379834141971441,-1.3343683927325158,-3.017137128022581,0.026147582448830586,0.9
